# generated by unwrap_scan from RustPython @ 3290f287f (regenerate: cargo run --release -- $RUSTPYTHON_ROOT)
# module	name	kind	reachable	pattern	file:line
_thread	start_joinable_thread	fn	py	unwrap	crates/vm/src/stdlib/_thread.rs:1798
_thread	start_joinable_thread	fn	py	unwrap	crates/vm/src/stdlib/_thread.rs:1815
_thread	start_new_thread	fn	py	unwrap	crates/vm/src/stdlib/_thread.rs:495
_thread	start_new_thread	fn	py	unwrap	crates/vm/src/stdlib/_thread.rs:496
_tkinter	TkApp.getint	method	py	todo	crates/stdlib/src/tkinter.rs:342
_tkinter	TkApp.getint	method	py	todo	crates/stdlib/src/tkinter.rs:344
_tkinter	create	fn	py	unwrap	crates/stdlib/src/tkinter.rs:498
_tkinter	create	fn	py	todo	crates/stdlib/src/tkinter.rs:522
_typing	_idfunc	fn	py	args-index	crates/vm/src/stdlib/_typing.rs:43
_winapi	GetModuleFileName	fn	py	unwrap	crates/vm/src/stdlib/_winapi.rs:443
array	PyArray.__reduce_ex__	method	py	unwrap	crates/stdlib/src/array.rs:1183
atexit	unregister	fn	py	unwrap	crates/vm/src/stdlib/atexit.rs:49
binascii	b2a_hex	fn	py	unwrap	crates/stdlib/src/binascii.rs:84
binascii	b2a_uu	fn	py	unwrap	crates/stdlib/src/binascii.rs:829
builtins	FrameLocalsProxy.update	method	py	args-index	crates/vm/src/builtins/frame_locals_proxy.rs:174
builtins	PyBaseObject.__reduce_ex__	method	py	unwrap	crates/vm/src/builtins/object.rs:475
builtins	PyByteArray.slot_str	slot	py	expect	crates/vm/src/builtins/bytearray.rs:220
builtins	PyBytes.slot_str	slot	py	expect	crates/vm/src/builtins/bytes.rs:232
builtins	PyCode.replace	method	py	unwrap	crates/vm/src/builtins/code.rs:1372
builtins	PyCode.replace	method	py	unwrap	crates/vm/src/builtins/code.rs:1380
builtins	PyCode.replace	method	py	unwrap	crates/vm/src/builtins/code.rs:1414
builtins	PyCode.replace	method	py	unwrap	crates/vm/src/builtins/code.rs:1416
builtins	PyCode.replace	method	py	unwrap	crates/vm/src/builtins/code.rs:1417
builtins	PyCode.replace	method	py	unwrap	crates/vm/src/builtins/code.rs:1427
builtins	PyCode.replace	method	py	unwrap	crates/vm/src/builtins/code.rs:1431
builtins	PyFloat.as_integer_ratio	method	py	unreachable	crates/vm/src/builtins/float.rs:380
builtins	PyMemoryView.cast	method	py	unwrap	crates/vm/src/builtins/memory.rs:893
builtins	PyNamespace.__reduce__	method	py	unwrap	crates/vm/src/builtins/namespace.rs:37
builtins	PyNamespace.__replace__	method	py	unwrap	crates/vm/src/builtins/namespace.rs:73
builtins	PyNamespace.__replace__	method	py	unwrap	crates/vm/src/builtins/namespace.rs:74
builtins	PyNativeFunction.__reduce__	method	py	unwrap	crates/vm/src/builtins/builtin_func.rs:186
builtins	PyStr.maketrans	staticmethod	py	unwrap	crates/vm/src/builtins/str.rs:1434
builtins	PyType.__bases__	getset-setter	py	unwrap	crates/vm/src/builtins/type.rs:1529
builtins	PyType.__bases__	getset-setter	py	unwrap	crates/vm/src/builtins/type.rs:1578
builtins	PyType.__name__	getset	py	panic	crates/vm/src/builtins/type.rs:1651
builtins	PyType.__subclasses__	method	py	unwrap	crates/vm/src/builtins/type.rs:1952
builtins	__build_class__	fn	py	unwrap	crates/vm/src/stdlib/builtins.rs:1283
builtins	input	fn	py	unwrap	crates/vm/src/stdlib/builtins.rs:783
